year_month,Country,AverageTemperature
1768-09,United States,15.42
1768-10,United States,8.162
1768-11,United States,1.591
1768-12,United States,-2.882
1769-01,United States,-3.952
1769-02,United States,-2.684
1769-03,United States,1.828
1769-04,United States,8.843
1769-05,United States,15.724
1769-06,United States,20.933000000000003
1769-07,United States,22.093000000000004
1769-08,United States,20.787
1774-10,United States,9.244
1774-11,United States,0.5219999999999998
1774-12,United States,-4.957
1775-01,United States,-1.5510000000000002
1775-02,United States,1.5060000000000002
1775-03,United States,5.02
1775-04,United States,7.662999999999999
1775-05,United States,14.452
1775-06,United States,17.684
1775-07,United States,21.601
1775-08,United States,20.844
1775-09,United States,15.081
1775-10,United States,10.255999999999998
1775-11,United States,5.371
1775-12,United States,-3.937
1776-01,United States,-6.3580000000000005
1776-02,United States,-0.54
1776-03,United States,1.541
1776-04,United States,7.254
1776-06,United States,19.836
1776-07,United States,20.94
1776-08,United States,21.476
1776-09,United States,14.999
1776-10,United States,8.351
1776-11,United States,2.7030000000000003
1776-12,United States,-0.9919999999999998
1777-01,United States,0.1739999999999995
1777-02,United States,-0.1859999999999999
1777-03,United States,2.504
1777-04,United States,5.836
1777-05,United States,13.739
1777-06,United States,17.463
1777-07,United States,19.176
1777-08,United States,19.398
1777-09,United States,15.27
1777-10,United States,7.042000000000001
1777-11,United States,1.882
1777-12,United States,-2.641
1778-01,United States,-3.402
1778-05,United States,13.835
1778-06,United States,16.855
1778-10,United States,8.203
1778-11,United States,0.6299999999999999
1778-12,United States,-3.949
1779-01,United States,-5.337999999999999
1779-02,United States,-0.2930000000000001
1779-03,United States,3.49
1781-09,United States,14.316
1781-10,United States,9.031
1781-11,United States,3.832
1781-12,United States,-2.166
1782-01,United States,-5.98
1782-02,United States,-4.058
1782-03,United States,-0.121
1782-04,United States,8.792
1782-05,United States,14.02
1782-06,United States,19.578
1782-07,United States,21.014
1796-06,United States,19.877
1796-07,United States,21.441
1796-08,United States,21.54
1796-09,United States,16.315
1796-10,United States,9.388
1796-11,United States,2.317
1796-12,United States,-5.261
1797-01,United States,-1.7630000000000003
1797-02,United States,0.4489999999999998
1797-03,United States,1.266
1797-04,United States,6.311
1797-05,United States,12.630999999999998
1797-06,United States,19.247
1811-08,United States,20.167
1811-09,United States,15.193
1811-10,United States,6.885
1811-11,United States,0.484
1811-12,United States,-2.512
1812-01,United States,-5.972
1812-02,United States,-5.1
1812-03,United States,-1.2830000000000004
1812-04,United States,5.917000000000001
1812-05,United States,11.998
1812-06,United States,17.495
1812-07,United States,21.197
1812-08,United States,21.686
1812-09,United States,14.715
1812-10,United States,7.593
1812-11,United States,0.6269999999999998
1812-12,United States,-4.721
1813-01,United States,-7.130000000000001
1813-02,United States,-2.972
1813-03,United States,-0.8590000000000001
1813-04,United States,8.391
1813-05,United States,14.684
1813-06,United States,18.636
1813-07,United States,21.586
1813-08,United States,19.987
1813-09,United States,16.947
1814-10,United States,7.711
1814-11,United States,3.907
1814-12,United States,-0.2649999999999997
1815-01,United States,-4.428999999999999
1815-02,United States,-2.027
1815-03,United States,0.94
1815-04,United States,6.694000000000001
1815-05,United States,12.268
1815-06,United States,16.72
1815-07,United States,21.953000000000003
1815-08,United States,19.859
1815-09,United States,15.042
1815-10,United States,7.084
